Name,Category,PAM,Member,Date
Charles Bachette-Peyrade,1A,1400.0,True,1900-01-01
Charles Bachette-Peyrade,1A,1405.050546487235,True,2021-09-18
Charles Bachette-Peyrade,1A,1407.70602495331,True,2021-09-19
Charles Bachette-Peyrade,1A,1379.8267182491204,True,2021-09-21
Charles Bachette-Peyrade,1A,1369.777660186395,True,2021-10-26
Charles Bachette-Peyrade,1A,1353.3416760882087,True,2021-11-16
Charles Bachette-Peyrade,1A,1331.5775186946826,True,2021-11-23 00:00:00
Charles Bachette-Peyrade,1A,1355.9503337983854,True,2021-11-30 00:00:00
Charles Bachette-Peyrade,1A,1346.667059638074,True,2021-11-30 00:00:00
Charles Bachette-Peyrade,1A,1328.7163162755603,True,2021-12-14 00:00:00
Charles Bachette-Peyrade,1A,1320.2040345033129,True,2021-12-14 00:00:00
Charles Bachette-Peyrade,1A,1334.007012170436,True,2021-12-16 00:00:00
Charles Bachette-Peyrade,1A,1321.7323747176656,True,2021-12-18 00:00:00
